product_category,items,revenue,avg_price,avg_freight,avg_review,late_rate
Health Beauty,9634,1437665.78,130.34,18.888,4.131,0.076
Watches Gifts,5970,1298292.47,200.701,16.768,4.011,0.072
Bed Bath Table,11097,1240386.13,93.355,18.421,3.877,0.07
Sports Leisure,8590,1147244.63,114.056,19.5,4.108,0.063
Computers Accessories,7781,1050941.58,116.222,18.843,3.938,0.065
Furniture Decor,8298,899626.04,87.668,20.747,3.903,0.07
Housewares,6915,772035.14,90.647,20.999,4.056,0.05
Cool Stuff,3779,704086.24,164.268,22.047,4.145,0.058
Auto,4204,678606.64,139.53,21.889,4.051,0.07
Garden Tools,4328,579525.2,111.139,22.762,4.043,0.066
Toys,4083,556783.29,117.514,18.852,4.158,0.064
Baby,3043,478320.0,134.838,22.349,4.013,0.077
Perfumery,3402,450580.47,116.578,15.867,4.171,0.065
Telephony,4527,393306.02,71.204,15.676,3.943,0.07
Office Furniture,1690,342073.02,161.882,40.528,3.483,0.08
Stationery,2505,276152.18,91.654,18.586,4.194,0.068
Pet Shop,1942,253176.96,110.076,20.294,4.184,0.049
Computers,203,232799.43,1098.341,48.455,4.143,0.05
Unknown,1589,206524.29,112.38,17.591,3.839,0.075
Musical Instruments,669,206021.32,280.7,27.254,4.175,0.074
Small Appliances,671,203731.5,280.041,23.583,4.156,0.046
Electronics,2755,203416.77,57.016,16.819,4.032,0.076
Fashion Bags Accessories,2025,182934.76,74.875,15.463,4.14,0.053
Consoles Games,1127,174639.6,137.469,17.491,4.028,0.059
Luggage Accessories,1088,170504.09,128.779,27.934,4.322,0.042
Construction Tools Construction,927,165179.69,155.933,22.254,4.049,0.063
Home Appliances 2,235,121055.52,470.85,44.28,4.157,0.061
Home Construction,603,96833.62,137.662,22.925,3.925,0.059
Home Appliances,769,94771.3,104.033,19.207,4.159,0.045
Furniture Living Room,501,86557.3,137.003,35.766,3.89,0.071
Agro Industry And Commerce,212,78374.07,342.125,27.564,4.0,0.034
Home Confort,434,67073.27,134.959,19.588,3.827,0.093
Fixed Telephony,261,62414.05,221.549,17.586,3.701,0.039
Air Conditioning,295,61436.57,185.502,22.757,3.939,0.038
Kitchen Dining Laundry Garden Furniture,279,57905.76,165.127,42.421,3.968,0.044
Audio,363,56371.26,139.583,15.71,3.824,0.116
Books General Interest,546,54658.69,83.557,16.55,4.476,0.062
Small Appliances Home Oven And Coffee,76,50193.57,624.286,36.156,4.303,0.055
Industry Commerce And Business,268,47554.29,148.021,29.42,4.067,0.064
Construction Tools Lights,302,47511.18,132.457,24.865,3.993,0.073
Construction Tools Safety,189,43420.59,209.466,20.273,3.862,0.027
Food,509,36496.78,57.453,14.25,4.151,0.07
Market Place,310,33694.53,91.253,17.439,4.01,0.036
Costruction Tools Garden,234,30781.89,109.197,22.349,4.094,0.056
Fashion Shoes,260,28248.41,89.819,18.829,4.219,0.043
Art,208,28196.21,116.191,19.368,3.933,0.061
Drinks,378,28100.75,59.203,15.138,3.992,0.044
Signaling And Security,199,28017.05,108.087,32.703,4.07,0.041
Furniture Bedroom,109,24661.01,183.75,42.498,4.119,0.068
Books Technical,267,23379.12,71.521,16.041,4.333,0.08
Food Drink,276,19608.1,54.781,16.263,4.322,0.041
Costruction Tools Tools,103,17934.17,154.407,19.711,4.359,0.058
Fashion Male Clothing,131,12893.45,82.052,16.371,3.641,0.056
Christmas Supplies,152,12009.19,57.815,21.193,3.928,0.1
Fashion Underwear Beach,131,11457.74,72.836,14.627,3.954,0.094
Tablets Printing Image,83,8754.61,90.704,14.773,4.048,0.06
Cine Photo,72,8189.66,96.298,17.447,4.194,0.057
Music,38,6724.86,158.799,18.171,4.211,0.053
Furniture Mattress And Upholstery,38,5998.54,114.949,42.907,3.816,0.135
Dvds Blu Ray,62,5804.37,73.54,20.079,4.129,0.066
Books Imported,60,5409.7,77.331,12.831,4.4,0.035
Party Supplies,43,5313.15,104.307,19.255,3.767,0.0
Portateis Cozinha E Preparadores De Alimentos,14,4228.05,280.974,21.03,3.429,0.071
Fashio Female Clothing,48,3425.39,58.409,12.953,3.75,0.067
Fashion Sport,30,2697.64,70.65,19.271,4.233,0.034
La Cuisine,14,2388.54,146.785,23.825,3.786,0.0
Arts And Craftmanship,24,2184.14,75.584,15.422,4.125,0.042
Diapers And Hygiene,38,2101.25,40.494,14.802,3.316,0.0
Flowers,33,1598.91,33.638,14.814,4.212,0.03
Pc Gamer,8,1430.1,163.369,15.394,3.625,0.0
Home Comfort 2,30,1170.58,25.342,13.677,3.367,0.133
Cds Dvds Musicals,14,954.99,52.143,16.071,4.643,0.0
Fashion Childrens Clothes,8,665.36,71.231,11.939,4.5,0.0
Security And Services,2,324.51,141.645,20.61,2.5,0.0
