order_month,orders,revenue,aov,customers
2016-09-01,2,279.69,139.85,2
2016-10-01,293,51354.52,177.08,290
2016-12-01,1,19.62,19.62,1
2017-01-01,787,136943.46,174.01,753
2017-02-01,1718,283561.69,165.05,1693
2017-03-01,2617,425617.96,162.64,2577
2017-04-01,2377,405848.61,170.74,2345
2017-05-01,3640,582710.83,160.09,3569
2017-06-01,3205,499652.24,155.9,3142
2017-07-01,3946,578753.73,146.67,3872
2017-08-01,4272,661903.52,154.94,4191
2017-09-01,4227,717102.72,169.65,4154
2017-10-01,4547,764756.03,168.19,4481
2017-11-01,7423,1172191.68,157.96,7315
2017-12-01,5620,861526.77,153.35,5553
2018-01-01,7187,1101920.01,153.32,7088
2018-02-01,6625,979486.16,147.87,6469
2018-03-01,7168,1152656.99,160.81,7077
2018-04-01,6919,1156248.89,167.11,6863
2018-05-01,6833,1145686.46,167.67,6775
2018-06-01,6145,1020381.9,166.05,6106
2018-07-01,6233,1039783.58,166.82,6172
2018-08-01,6421,996973.51,155.27,6380
2018-09-01,1,166.46,166.46,1
