customer_state,orders,revenue,avg_delivery_days,late_rate,avg_review
SP,40494,5768518.23,8.761,0.045,4.234
RJ,12350,2055401.57,15.309,0.121,3.947
MG,11354,1818891.67,12.009,0.046,4.179
RS,5344,861278.79,15.3,0.061,4.179
PR,4923,781708.8,11.992,0.04,4.229
SC,3546,595127.78,14.955,0.082,4.117
BA,3256,591137.81,19.335,0.122,3.911
DF,2080,346123.35,12.968,0.057,4.125
GO,1957,334212.35,15.606,0.065,4.091
ES,1995,317657.93,15.789,0.107,4.047
PE,1593,308972.05,18.448,0.096,4.069
CE,1279,266436.77,21.267,0.138,3.937
PA,946,212023.57,23.773,0.112,3.89
MT,886,181224.42,18.056,0.06,4.13
MA,717,147803.55,21.573,0.174,3.813
PB,517,137838.55,20.427,0.104,4.062
MS,701,134367.55,15.618,0.097,4.158
PI,476,105178.19,19.457,0.139,3.979
RN,474,100714.78,19.278,0.093,4.131
AL,397,94172.49,24.544,0.214,3.826
SE,335,70289.13,21.52,0.152,3.899
TO,274,60007.37,17.658,0.099,4.157
RO,243,56966.0,19.372,0.029,4.169
AM,145,27585.47,26.426,0.028,4.234
AC,80,19575.33,21.036,0.038,4.088
AP,67,16141.81,27.185,0.03,4.224
RR,41,9039.52,29.388,0.122,3.902
